                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.41089,                0.35891,                0.99704,                0.67084,                0.76886,                0.75084,                0.67424,                0.43143,                 0.6508,                0.99545,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.40308,                0.35261,                0.99589,                0.71057,                0.75306,                0.75915,                0.68279,                0.42007,                0.63142,                0.98679,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.39611,                 0.3447,                0.99192,                0.71794,                0.74581,                0.75647,                0.68044,                0.41518,                0.62583,                0.98309,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.39575,                0.34545,                0.98993,                0.71538,                0.74866,                0.75492,                0.67974,                0.41813,                0.63478,                0.98857,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 0.3918,                0.33383,                0.98857,                0.69385,                0.79853,                0.76664,                0.69335,                0.41979,                0.61994,                0.99216,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.38818,                0.33007,                0.98712,                0.69077,                0.78474,                0.76302,                0.68867,                0.41632,                 0.6211,                0.98377,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.38616,                0.32867,                0.98504,                0.69786,                0.75742,                 0.7603,                0.68856,                 0.4141,                0.62509,                0.98619,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.38235,                0.32223,                0.98044,                0.74525,                0.71762,                0.76398,                0.69457,                0.41562,                0.63619,                0.98902,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                  0.378,                0.32334,                0.97613,                0.73969,                0.72128,                0.76197,                0.69522,                0.41447,                0.62975,                0.98334,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 0.3784,                 0.3172,                0.97381,                0.70241,                0.76715,                 0.7607,                0.69334,                0.41363,                0.62826,                0.98289,             1.8089e-05,             1.8089e-05,             1.8089e-05
